005180f4	mpr-18987.30
00518104	mpr-18980.17
00518114	mpr-18981.21
00518124	mpr-18982.18
00518134	mpr-18983.22
00518144	mpr-18985.27
00518154	mpr-18984.25
00518164	epr-18990.31
00518174	mpr-18978.32
00518184	mpr-18979.34
00518194	dynamcop
005181a0	Dynamite Cop (Model 2A)
005181b8	epr-20930.12
005181c8	epr-20931.13
005181d8	epr-20932.14
005181e8	epr-20933.15
005181f8	mpr-20797.10
00518208	mpr-20798.11
00518218	mpr-20795.8
00518224	mpr-20796.9
00518230	mpr-20793.6
0051823c	mpr-20794.7
00518248	mpr-20791.4
00518254	mpr-20792.5
